term,definition,domain
emergency lighting,"A architecture term meaning acil aydınlatma, used in site, drawing, installation or coordination contexts.",architecture
dimmable lighting,"A architecture term meaning kısılabilir aydınlatma, used in site, drawing, installation or coordination contexts.",architecture
acoustic separation,"A architecture term meaning akustik ayrım, used in site, drawing, installation or coordination contexts.",architecture
impact sound insulation,"A architecture term meaning darbe sesi yalıtımı, used in site, drawing, installation or coordination contexts.",architecture
conservation management plan,"A architecture term meaning koruma yönetim planı, used in site, drawing, installation or coordination contexts.",architecture
stone conservation,"A architecture term meaning taş koruma, used in site, drawing, installation or coordination contexts.",architecture
archival documentation (heritage),"A architecture term meaning arşiv belgelemesi (miras), used in site, drawing, installation or coordination contexts.",architecture
design competition brief,"A architecture term meaning tasarım yarışması şartnamesi, used in site, drawing, installation or coordination contexts.",architecture
architectural contract,"A architecture term meaning mimarlık sözleşmesi, used in site, drawing, installation or coordination contexts.",architecture
professional indemnity insurance,"A architecture term meaning mesleki sorumluluk sigortası, used in site, drawing, installation or coordination contexts.",architecture
site analysis,"A architecture term meaning saha analizi, used in site, drawing, installation or coordination contexts.",architecture
context analysis,"A architecture term meaning bağlam analizi, used in site, drawing, installation or coordination contexts.",architecture
garden,"A architecture term meaning bahçe, used in site, drawing, installation or coordination contexts.",architecture
yard,"A architecture term meaning avlu / bahçe, used in site, drawing, installation or coordination contexts.",architecture
gate (building),"A architecture term meaning bina girişi kapısı, used in site, drawing, installation or coordination contexts.",architecture
driveway,"A architecture term meaning araç yolu (giriş), used in site, drawing, installation or coordination contexts.",architecture
porch roof,"A architecture term meaning veranda çatısı, used in site, drawing, installation or coordination contexts.",architecture
chimney (architecture),"A architecture term meaning baca (mimari), used in site, drawing, installation or coordination contexts.",architecture
dormer window,"A architecture term meaning çatı penceresi, used in site, drawing, installation or coordination contexts.",architecture
bay window,"A architecture term meaning cumba, used in site, drawing, installation or coordination contexts.",architecture
veranda,"A architecture term meaning veranda, used in site, drawing, installation or coordination contexts.",architecture
penthouse,"A architecture term meaning çatı katı dairesi, used in site, drawing, installation or coordination contexts.",architecture
duplex apartment,"A architecture term meaning dubleks daire, used in site, drawing, installation or coordination contexts.",architecture
