term,turkishMeaning,definition,exampleSentence,turkishExample,domain
sample preparation,numune hazırlama,"A chemical engineering term meaning numune hazırlama, used in process, plant, laboratory or documentation contexts.",The sample preparation should be ready before start-up.,Devreye alma öncesinde numune hazırlama hazır olmalıdır.,chemical
laboratory analysis,laboratuvar analizi,"A chemical engineering term meaning laboratuvar analizi, used in process, plant, laboratory or documentation contexts.",Please check the laboratory analysis before the next inspection.,Lütfen bir sonraki muayeneden önce laboratuvar analizi kontrol edin.,chemical
calibration (laboratory),kalibrasyon (laboratuvar),"A chemical engineering term meaning kalibrasyon (laboratuvar), used in process, plant, laboratory or documentation contexts.",The process engineer verified the calibration (laboratory) during the plant walkdown.,Proses mühendisi saha kontrolü sırasında kalibrasyon (laboratuvar) doğruladı.,chemical
analytical balance,hassas terazi,"A chemical engineering term meaning hassas terazi, used in process, plant, laboratory or documentation contexts.",The analytical balance must be confirmed before the process continues.,Prosese devam etmeden önce hassas terazi teyit edilmelidir.,chemical
centrifuge (lab),santrifüj (laboratuvar),"A chemical engineering term meaning santrifüj (laboratuvar), used in process, plant, laboratory or documentation contexts.",The centrifuge (lab) should be recorded in the operating log.,santrifüj (laboratuvar) işletme kayıt defterine kaydedilmelidir.,chemical
chemical storage,kimyasal depolama,"A chemical engineering term meaning kimyasal depolama, used in process, plant, laboratory or documentation contexts.",The chemical storage should be ready before start-up.,Devreye alma öncesinde kimyasal depolama hazır olmalıdır.,chemical
storage tank (chemical),depolama tankı (kimyasal),"A chemical engineering term meaning depolama tankı (kimyasal), used in process, plant, laboratory or documentation contexts.",Please check the storage tank (chemical) before the next inspection.,Lütfen bir sonraki muayeneden önce depolama tankı (kimyasal) kontrol edin.,chemical
bulk storage,toplu depolama,"A chemical engineering term meaning toplu depolama, used in process, plant, laboratory or documentation contexts.",The process engineer verified the bulk storage during the plant walkdown.,Proses mühendisi saha kontrolü sırasında toplu depolama doğruladı.,chemical
chemical handling,kimyasal madde taşıma/kullanma,"A chemical engineering term meaning kimyasal madde taşıma/kullanma, used in process, plant, laboratory or documentation contexts.",The chemical handling must be confirmed before the process continues.,Prosese devam etmeden önce kimyasal madde taşıma/kullanma teyit edilmelidir.,chemical
chemical labeling,kimyasal etiketleme,"A chemical engineering term meaning kimyasal etiketleme, used in process, plant, laboratory or documentation contexts.",The chemical labeling should be ready before start-up.,Devreye alma öncesinde kimyasal etiketleme hazır olmalıdır.,chemical
hazardous chemical,tehlikeli kimyasal,"A chemical engineering term meaning tehlikeli kimyasal, used in process, plant, laboratory or documentation contexts.",Please check the hazardous chemical before the next inspection.,Lütfen bir sonraki muayeneden önce tehlikeli kimyasal kontrol edin.,chemical
chemical spill,kimyasal dökülme,"A chemical engineering term meaning kimyasal dökülme, used in process, plant, laboratory or documentation contexts.",The process engineer verified the chemical spill during the plant walkdown.,Proses mühendisi saha kontrolü sırasında kimyasal dökülme doğruladı.,chemical
containment (chemical),sızdırmazlık önlemi (kimyasal),"A chemical engineering term meaning sızdırmazlık önlemi (kimyasal), used in process, plant, laboratory or documentation contexts.",The containment (chemical) must be confirmed before the process continues.,Prosese devam etmeden önce sızdırmazlık önlemi (kimyasal) teyit edilmelidir.,chemical
drum (chemical),varil (kimyasal),"A chemical engineering term meaning varil (kimyasal), used in process, plant, laboratory or documentation contexts.",The drum (chemical) should be recorded in the operating log.,varil (kimyasal) işletme kayıt defterine kaydedilmelidir.,chemical
IBC tote,IBC konteyner,"A chemical engineering term meaning IBC konteyner, used in process, plant, laboratory or documentation contexts.",The IBC tote should be ready before start-up.,Devreye alma öncesinde IBC konteyner hazır olmalıdır.,chemical
process flow diagram,proses akış diyagramı,"A chemical engineering term meaning proses akış diyagramı, used in process, plant, laboratory or documentation contexts.",The process engineer verified the process flow diagram during the plant walkdown.,Proses mühendisi saha kontrolü sırasında proses akış diyagramı doğruladı.,chemical
mass balance,kütle dengesi,"A chemical engineering term meaning kütle dengesi, used in process, plant, laboratory or documentation contexts.",The mass balance must be confirmed before the process continues.,Prosese devam etmeden önce kütle dengesi teyit edilmelidir.,chemical
energy balance,enerji dengesi,"A chemical engineering term meaning enerji dengesi, used in process, plant, laboratory or documentation contexts.",The energy balance should be recorded in the operating log.,enerji dengesi işletme kayıt defterine kaydedilmelidir.,chemical
process data sheet,proses veri formu,"A chemical engineering term meaning proses veri formu, used in process, plant, laboratory or documentation contexts.",The process data sheet should be ready before start-up.,Devreye alma öncesinde proses veri formu hazır olmalıdır.,chemical
equipment list (process),ekipman listesi (proses),"A chemical engineering term meaning ekipman listesi (proses), used in process, plant, laboratory or documentation contexts.",Please check the equipment list (process) before the next inspection.,Lütfen bir sonraki muayeneden önce ekipman listesi (proses) kontrol edin.,chemical
line list,hat listesi,"A chemical engineering term meaning hat listesi, used in process, plant, laboratory or documentation contexts.",The process engineer verified the line list during the plant walkdown.,Proses mühendisi saha kontrolü sırasında hat listesi doğruladı.,chemical
plant commissioning,tesis devreye alma,"A chemical engineering term meaning tesis devreye alma, used in process, plant, laboratory or documentation contexts.",The plant commissioning should be recorded in the operating log.,tesis devreye alma işletme kayıt defterine kaydedilmelidir.,chemical
start-up (process),devreye alma / başlatma,"A chemical engineering term meaning devreye alma / başlatma, used in process, plant, laboratory or documentation contexts.",The start-up (process) should be ready before start-up.,Devreye alma öncesinde devreye alma / başlatma hazır olmalıdır.,chemical
shutdown (process),durdurma (proses),"A chemical engineering term meaning durdurma (proses), used in process, plant, laboratory or documentation contexts.",Please check the shutdown (process) before the next inspection.,Lütfen bir sonraki muayeneden önce durdurma (proses) kontrol edin.,chemical
pre-commissioning (process),ön devreye alma (proses),"A chemical engineering term meaning ön devreye alma (proses), used in process, plant, laboratory or documentation contexts.",The process engineer verified the pre-commissioning (process) during the plant walkdown.,Proses mühendisi saha kontrolü sırasında ön devreye alma (proses) doğruladı.,chemical
operational readiness,işletme hazırlığı,"A chemical engineering term meaning işletme hazırlığı, used in process, plant, laboratory or documentation contexts.",The operational readiness must be confirmed before the process continues.,Prosese devam etmeden önce işletme hazırlığı teyit edilmelidir.,chemical
performance test (process),performans testi (proses),"A chemical engineering term meaning performans testi (proses), used in process, plant, laboratory or documentation contexts.",The performance test (process) should be recorded in the operating log.,performans testi (proses) işletme kayıt defterine kaydedilmelidir.,chemical
